d, r, Trial, Samples, Rate Err, Weight Err, Time, Success
1, 1, 1, 1000, 0.0022, 0.0000, 0.0188, 1
1, 1, 2, 1000, 0.0017, 0.0000, 0.0156, 1
1, 1, 3, 1000, 0.0035, 0.0000, 0.0172, 1
1, 1, 4, 1000, 0.0032, 0.0000, 0.0166, 1
1, 1, 5, 1000, 0.0008, 0.0000, 0.0183, 1
1, 1, Median, 1000.0, 0.0022, 0.0000, 0.0172, 1.00
1, 2, 1, 1000, 0.0158, 1.4790, 0.0279, 0
1, 2, 1, 10000, 0.0041, 1.3345, 0.1124, 0
1, 2, 1, 50000, 0.0066, 1.9806, 0.4804, 0
1, 2, 1, 100000, 0.0176, 0.2593, 0.9618, 0
1, 2, 2, 1000, 0.0060, 0.0321, 0.0274, 1
1, 2, 3, 1000, 0.0160, 0.0012, 0.0290, 1
1, 2, 4, 1000, 0.0194, 0.0387, 0.0279, 1
1, 2, 5, 1000, 0.3230, 0.4065, 0.0279, 0
1, 2, 5, 10000, 0.0343, 0.1096, 0.1155, 1
1, 2, Median, 1000.0, 0.0176, 0.0387, 0.0290, 0.80
1, 3, 1, 1000, 0.1887, 0.2672, 0.0295, 0
1, 3, 1, 10000, 0.2571, 0.3216, 0.1351, 0
1, 3, 1, 50000, 0.2201, 0.0936, 0.5984, 0
1, 3, 1, 100000, 0.0618, 0.2583, 1.1651, 0
1, 3, 2, 1000, 0.2747, 1.2452, 0.0291, 0
1, 3, 2, 10000, 0.0384, 0.5732, 0.1423, 0
1, 3, 2, 50000, 0.1926, 1.4004, 0.5980, 0
1, 3, 2, 100000, 0.0315, 1.1900, 1.2129, 0
1, 3, 3, 1000, 0.0258, 0.0778, 0.0289, 1
1, 3, 4, 1000, 0.0177, 0.0694, 0.0291, 1
1, 3, 5, 1000, 0.0699, 0.1563, 0.0293, 0
1, 3, 5, 10000, 0.0906, 0.1458, 0.1340, 0
1, 3, 5, 50000, 0.0310, 0.1846, 0.6597, 0
1, 3, 5, 100000, 0.0254, 0.1714, 1.2643, 1
1, 3, Median, 100000.0, 0.0258, 0.0936, 0.1423, 0.60
1, 4, 1, 1000, 0.3043, 0.4045, 0.0285, 0
1, 4, 1, 10000, 0.2508, 0.3721, 0.1781, 0
1, 4, 1, 50000, 0.3010, 0.5754, 0.8386, 0
1, 4, 1, 100000, 0.0362, 0.2525, 1.6236, 0
1, 4, 2, 1000, 0.0517, 0.2623, 0.0343, 0
1, 4, 2, 10000, 0.1035, 0.2639, 0.1793, 0
1, 4, 2, 50000, 0.4458, 0.6377, 0.7893, 0
1, 4, 3, 1000, 0.0845, 0.4715, 0.0326, 0
