d, r, Median Samples, Median Rate Err, Median Weight Err, Median Time, Success Rate
1, 1, 1000.0, 0.0068, 0.0000, 0.0181, 1.00
2, 1, 1000.0, 0.0016, 0.0000, 0.0282, 1.00
2, 2, 1000.0, 0.0073, 0.0375, 0.0178, 1.00
3, 1, 1000.0, 0.0036, 0.0000, 0.0292, 1.00
3, 2, 1000.0, 0.0229, 0.0279, 0.0280, 1.00
3, 3, 1000.0, 0.0423, 0.0674, 0.0322, 1.00
4, 1, 1000.0, 0.0039, 0.0000, 0.0282, 1.00
4, 2, 1000.0, 0.0154, 0.0428, 0.0278, 1.00
4, 3, 1000.0, 0.0248, 0.0547, 0.0300, 1.00
4, 4, 25000.0, 0.0441, 0.0678, 0.3363, 1.00
5, 1, 1000.0, 0.0047, 0.0000, 0.0281, 1.00
5, 2, 1000.0, 0.0166, 0.0128, 0.0286, 1.00
5, 3, 1000.0, 0.0347, 0.0656, 0.0299, 0.67
5, 4, 75000.0, 0.1135, 0.1118, 0.1108, 0.67
5, 5, 75000.0, 0.0652, 0.0826, 1.2669, 1.00
